Rank ;Platform ;Year ;Genre ;Publisher
10232;PS2 ;2002;Shooter ;Namco Bandai Games
10233;PS3 ;2016;Role-Playing ;Namco Bandai Games
10234;PSV ;2014;Action ;Tecmo Koei
10235;PS2 ;2000;Simulation ;Swing! Entertainment
10236;PS2 ;2007;Adventure ;Alchemist
10237;PSP ;2011;Role-Playing ;Konami Digital Entertainment
10238;PS3 ;2015;Action ;Activision
10239;PS2 ;2002;Sports ;Xicat Interactive
10240;3DS ;2011;Adventure ;Funbox Media
10241;X360 ;2011;Sports ;505 Games
10242;PS ;1999;Puzzle ;Hasbro Interactive
10243;PSP ;2005;Platform ;Konami Digital Entertainment
10244;3DS ;2012;Action ;Unknown
10245;DS ;2007;Adventure ;505 Games
10246;PS2 ;2004;Action ;Acclaim Entertainment
10247;X360 ;2009;Action ;Sega
10248;PC ;2011;Shooter ;Ubisoft
10249;SAT ;1997;Misc ;Sega
10250;GBA ;2004;Adventure ;Nintendo
10251;Wii ;2009;Action ;Konami Digital Entertainment
10252;X360 ;2006;Racing ;Activision
10253;PSV ;2011;Misc ;Ubisoft
10254;Wii ;2009;Action ;D3Publisher
10255;XB ;2002;Sports ;Simon & Schuster Interactive
10256;XB ;2003;Sports ;Microsoft Game Studios
10257;XB ;2002;Fighting ;Activision
10258;PS ;1999;Racing ;Syscom
10259;PS ;1997;Racing ;ASCII Entertainment
10260;PSV ;2013;Action ;Screenlife
10261;SNES ;1993;Sports ;Victor Interactive
10262;DS ;2005;Puzzle ;505 Games
10263;DS ;2006;Adventure ;THQ
10264;DS ;2009;Simulation ;Electronic Arts
10265;Wii ;2008;Platform ;Eidos Interactive
10266;PSV ;2016;Fighting ;Namco Bandai Games
10267;SAT ;1997;Role-Playing ;Sega
10268;PC ;2011;Platform ;Sega
10269;DS ;2008;Action ;SouthPeak Games
10270;PSP ;2013;Role-Playing ;Sega
10271;GC ;2002;Action ;Universal Interactive
10272;Wii ;2009;Sports ;Atari
10273;PS ;2000;Fighting ;BAM! Entertainment
10274;GC ;N/A ;Role-Playing ;Unknown
10275;DS ;2009;Simulation ;Activision
10276;PSP ;2012;Action ;Namco Bandai Games
10277;DS ;2010;Puzzle ;Deep Silver
10278;XB ;2005;Adventure ;Global Star
10279;PS2 ;2005;Action ;SCi
10280;PS3 ;2009;Platform ;Warner Bros. Interactive Entertainment
10281;PS2 ;2003;Strategy ;Tecmo Koei
10282;PS2 ;2005;Sports ;Valcon Games
10283;SAT ;1996;Sports ;Sega
10284;XB ;2004;Platform ;Electronic Arts
10285;PS4 ;2016;Role-Playing ;Namco Bandai Games
10286;Wii ;2009;Action ;Rising Star Games
10287;GC ;2002;Misc ;Midway Games
10288;DS ;2009;Sports ;Hudson Soft
10289;GC ;2004;Adventure ;THQ
10290;XB ;2002;Sports ;Acclaim Entertainment
10291;DS ;2005;Racing ;Majesco Entertainment
10292;PS3 ;2013;Action ;Nippon Ichi Software
10293;X360 ;2009;Sports ;Atari
10294;PSP ;2006;Action ;Electronic Arts
10295;GBA ;2001;Platform ;TDK Mediactive
10296;PS2 ;2009;Misc ;MTV Games
10297;PSP ;2007;Sports ;Ubisoft
10298;DS ;2009;Action ;Electronic Arts
10299;3DS ;2015;Misc ;Takara Tomy
10300;Wii ;2011;Misc ;Black Bean Games
10301;PS2 ;2004;Shooter ;Global Star
10302;X360 ;2011;Misc ;Ubisoft
10303;XB ;2003;Misc ;Vivendi Games
10304;X360 ;2009;Shooter ;Bethesda Softworks
10305;DS ;2009;Adventure ;Nintendo
10306;DS ;2007;Role-Playing ;Rising Star Games
10307;X360 ;2008;Action ;Konami Digital Entertainment
10308;X360 ;2014;Action ;Square Enix
10309;Wii ;2011;Action ;Activision
10310;GC ;2003;Racing ;BAM! Entertainment
10311;NES ;1994;Role-Playing ;Square
10312;PS4 ;2015;Sports ;Bigben Interactive
10313;SAT ;1997;Strategy ;NCS
10314;PS ;2000;Racing ;Codemasters
10315;DS ;2010;Action ;505 Games
10316;PS ;1997;Shooter ;GT Interactive
10317;PS ;1999;Misc ;Midway Games
10318;PSP ;2004;Puzzle ;Namco Bandai Games
10319;DS ;2009;Racing ;Zoo Digital Publishing
10320;3DS ;2015;Puzzle ;Nintendo
10321;PS2 ;2007;Action ;Eidos Interactive
10322;PSP ;2006;Misc ;Square Enix
10323;X360 ;2007;Puzzle ;THQ
10324;PSP ;2008;Misc ;Sony Computer Entertainment
10325;PS3 ;2011;Misc ;Activision
10326;Wii ;2010;Shooter ;Majesco Entertainment
10327;PS ;1999;Strategy ;PopTop Software
10328;WiiU ;2013;Strategy ;Activision
10329;DS ;2009;Action ;Oxygen Interactive
10330;DS ;2007;Misc ;Disney Interactive Studios
10331;XOne ;2014;Action ;Activision
10332;DS ;2006;Simulation ;Konami Digital Entertainment
10333;SNES ;1993;Role-Playing ;TOHO
10334;PSP ;2007;Sports ;Take-Two Interactive
10335;X360 ;2012;Action ;Konami Digital Entertainment
10336;DS ;2008;Simulation ;DTP Entertainment
10337;WiiU ;2013;Puzzle ;Warner Bros. Interactive Entertainment
10338;PS ;1995;Misc ;Sony Computer Entertainment
10339;PSP ;2005;Action ;Konami Digital Entertainment
10340;PS ;1996;Sports ;Konami Digital Entertainment
10341;Wii ;2009;Simulation ;THQ
10342;GBA ;2005;Action ;Nintendo
10343;PS ;2000;Misc ;Aruze Corp
10344;DS ;2009;Misc ;Activision
10345;Wii ;2009;Sports ;Destineer
10346;X360 ;2010;Sports ;Activision
10347;PS2 ;2000;Puzzle ;3DO
10348;DS ;2005;Action ;Capcom
10349;PC ;2010;Action ;Ubisoft
10350;GBA ;2005;Platform ;Capcom
10351;PS ;1999;Sports ;Starfish
10352;DS ;2005;Role-Playing ;Nintendo
10353;PS2 ;2006;Adventure ;Aqua Plus
10354;PS ;1995;Sports ;Human Entertainment
10355;GC ;2005;Sports ;Electronic Arts
10356;PS ;1994;Shooter ;Acclaim Entertainment
10357;DS ;2007;Puzzle ;Crave Entertainment
10358;3DS ;2011;Fighting ;PQube
10359;PSP ;2011;Role-Playing ;Unknown
10360;PC ;2009;Adventure ;HMH Interactive
10361;PS ;1999;Adventure ;Konami Digital Entertainment
10362;3DS ;2011;Action ;505 Games
10363;PSP ;2006;Sports ;Electronic Arts
10364;Wii ;N/A ;Shooter ;Disney Interactive Studios
10365;X360 ;2016;Action ;Warner Bros. Interactive Entertainment
10366;GC ;2002;Shooter ;BAM! Entertainment
10367;PS3 ;2009;Misc ;MTV Games
10368;DS ;2008;Misc ;Konami Digital Entertainment
10369;DS ;2009;Sports ;Activision
10370;Wii ;2010;Action ;Ubisoft
10371;DC ;2000;Adventure ;Sega
10372;PS2 ;2006;Misc ;Sony Computer Entertainment
10373;DS ;2009;Sports ;Sega
10374;XB ;2003;Shooter ;Electronic Arts
10375;PS ;2001;Adventure ;Take-Two Interactive
10376;PS ;1999;Racing ;Konami Digital Entertainment
10377;PS2 ;2007;Role-Playing ;Square Enix
10378;DS ;2007;Adventure ;Activision
10379;XB ;2004;Fighting ;Vivendi Games
10380;PS ;1995;Strategy ;Sony Computer Entertainment
10381;PS ;1998;Adventure ;Take-Two Interactive
10382;PS2 ;2009;Fighting ;Namco Bandai Games
10383; ; ; ;
10384;GBA ;2004;Misc ;N/A
10385;PS2 ;2002;Racing ;Empire Interactive
10386;SAT ;1995;Role-Playing ;Sega
10387;PSP ;2006;Misc ;Activision
10388;3DS ;2014;Role-Playing ;Namco Bandai Games
10389;PS3 ;2009;Misc ;Konami Digital Entertainment
10390;PSP ;2012;Action ;Ubisoft Annecy
10391;Wii ;2010;Misc ;Warner Bros. Interactive Entertainment
10392;GBA ;2002;Shooter ;Activision
10393;PSV ;2014;Fighting ;Arc System Works
10394;PS ;1999;Strategy ;Namco Bandai Games
10395;PSV ;2016;Action ;Tecmo Koei
10396;PSV ;2014;Action ;Xseed Games
10397;PSP ;2012;Sports ;Namco Bandai Games
10398;DS ;2009;Simulation ;DreamCatcher Interactive
10399;PS2 ;2006;Sports ;Konami Digital Entertainment
10400;WiiU ;2015;Platform ;Yacht Club Games
10401;PSP ;2010;Strategy ;Sony Computer Entertainment
10402;X360 ;2011;Action ;Kalypso Media
10403;DS ;2006;Action ;Activision
10404;XB ;2005;Shooter ;Electronic Arts
10405;DS ;2009;Simulation ;Ubisoft
10406;PS ;1995;Shooter ;Sony Computer Entertainment
10407;PSP ;2012;Action ;Namco Bandai Games
10408;PSV ;2014;Role-Playing ;Ubisoft
10409;PS3 ;2010;Misc ;Sony Computer Entertainment
10410;SNES ;1995;Role-Playing ;Namco Bandai Games
10411;Wii ;2008;Simulation ;Hudson Soft
10412;PSP ;2011;Action ;Konami Digital Entertainment
10413;XB ;2005;Sports ;Activision
10414;PSP ;2010;Fighting ;Konami Digital Entertainment
10415;Wii ;2011;Sports ;Tecmo Koei
10416;GBA ;2003;Simulation ;Zoo Digital Publishing
10417;PS ;2000;Sports ;THQ
10418;PS ;1995;Adventure ;Acclaim Entertainment
10419;X360 ;2006;Sports ;Konami Digital Entertainment
10420;Wii ;2006;Misc ;Namco Bandai Games
10421;DS ;2011;Platform ;Activision
10422;SNES ;1995;Role-Playing ;ASCII Entertainment
10423;DS ;2005;Sports ;Konami Digital Entertainment
10424;PS2 ;2002;Sports ;Midway Games
10425;DS ;2006;Role-Playing ;Rising Star Games
10426;PS2 ;2010;Sports ;Konami Digital Entertainment
10427;DS ;2008;Misc ;Cave
10428;DS ;2010;Misc ;505 Games
10429;PS3 ;2009;Platform ;Ubisoft
10430;Wii ;2008;Misc ;D3Publisher
10431;PS2 ;2005;Sports ;Take-Two Interactive
10432;PSP ;2006;Sports ;Enterbrain
10433;PSP ;2012;Action ;Spike
10434;XB ;2003;Fighting ;Capcom
10435;PS3 ;2015;Action ;Little Orbit
10436;PS3 ;2014;Action ;Namco Bandai Games
10437;DS ;2007;Simulation ;Konami Digital Entertainment
10438;PSP ;2007;Strategy ;LucasArts
10439;DS ;2009;Sports ;Ubisoft
10440;GC ;2003;Sports ;Konami Digital Entertainment
10441;XB ;2003;Platform ;Acclaim Entertainment
10442;PS2 ;2003;Racing ;Electronic Arts
10443;PSV ;2015;Action ;Namco Bandai Games
10444;XB ;2005;Action ;Hip Interactive
10445;XB ;2005;Sports ;Zoo Digital Publishing
10446;DS ;2009;Adventure ;JoWood Productions
10447;XB ;2004;Shooter ;Ignition Entertainment
10448;Wii ;2013;Platform ;Ubisoft
10449;PS2 ;2004;Racing ;Take-Two Interactive
10450;Wii ;2012;Action ;Nintendo
10451;Wii ;2010;Sports ;Ghostlight
10452;DS ;2009;Sports ;Namco Bandai Games
10453;GBA ;2005;Racing ;THQ
10454;X360 ;2011;Misc ;Ubisoft
10455;PS2 ;2005;Sports ;Tecmo Koei
10456;PSV ;2011;Action ;Square Enix
10457;PS2 ;2005;Platform ;Konami Digital Entertainment
10458;DS ;2010;Role-Playing ;Namco Bandai Games
10459;DS ;2008;Puzzle ;Square Enix
10460;PS3 ;2009;Racing ;PQube
10461;X360 ;2008;Action ;Sega
10462;PS2 ;2010;Platform ;D3Publisher
10463;GC ;2003;Shooter ;Vivendi Games
10464;PC ;2009;Adventure ;Deep Silver
10465;GC ;2005;Action ;Ubisoft
10466;DS ;2009;Misc ;DreamCatcher Interactive
10467;PS3 ;N/A ;Action ;Warner Bros. Interactive Entertainment
10468;PS2 ;2001;Adventure ;LucasArts
10469;PS3 ;2009;Adventure ;Codemasters
10470;PS3 ;2014;Adventure ;Telltale Games
10471;N64 ;2000;Racing ;Nintendo
10472;Wii ;2010;Misc ;Ubisoft
10473;PSP ;2006;Adventure ;Sony Computer Entertainment
10474;DS ;2009;Adventure ;Konami Digital Entertainment
10475;PS3 ;2013;Shooter ;Namco Bandai Games
10476;PS3 ;2012;Action ;Namco Bandai Games
10477;Wii ;2009;Racing ;Konami Digital Entertainment
10478;DS ;2011;Sports ;Take-Two Interactive
10479;PSP ;2005;Sports ;Sony Computer Entertainment
10480;DS ;2008;Racing ;Black Bean Games
10481;DS ;2011;Puzzle ;Mastertronic
10482;DS ;2007;Puzzle ;Sega
10483;3DS ;2014;Role-Playing ;Atlus
10484;PSP ;2006;Racing ;Sony Computer Entertainment
10485;Wii ;2007;Misc ;Hudson Soft
10486;Wii ;2008;Adventure ;CDV Software Entertainment
10487;PS2 ;2002;Simulation ;Sony Computer Entertainment
10488;GBA ;2003;Racing ;Zoo Digital Publishing
10489;PC ;2004;Strategy ;Activision
10490;Wii ;2011;Action ;Warner Bros. Interactive Entertainment
10491;X360 ;2014;Action ;Konami Digital Entertainment
10492;PS3 ;2010;Fighting ;Konami Digital Entertainment
10493;XB ;2003;Action ;Microids
10494;PS2 ;2002;Sports ;THQ
10495;X360 ;2010;Platform ;Activision
10496;DS ;N/A ;Sports ;N/A
10497;PS ;1995;Shooter ;Acclaim Entertainment
10498;DS ;2007;Adventure ;Midway Games
10499;3DS ;2013;Role-Playing ;Level 5
10500;GBA ;2004;Role-Playing ;Sting
10501;PS3 ;2014;Role-Playing ;Deep Silver
10502;GBA ;2004;Simulation ;Mastiff
10503;PS2 ;2003;Fighting ;505 Games
10504;PSP ;2004;Misc ;Sony Computer Entertainment
10505;Wii ;2009;Misc ;Majesco Entertainment
10506;DS ;2010;Action ;SouthPeak Games
10507;PSP ;2007;Simulation ;Konami Digital Entertainment
10508;DS ;2009;Action ;D3Publisher
10509;XOne ;2015;Shooter ;Rebellion Developments
10510;XB ;2003;Adventure ;Ubisoft
10511;X360 ;2008;Sports ;Midway Games
10512;PS2 ;2005;Action ;Sony Computer Entertainment
10513;PS ;1999;Strategy ;Konami Digital Entertainment
10514;PS ;1995;Fighting ;Atlus
10515;3DS ;2012;Action ;Ubisoft Annecy
10516;Wii ;2007;Shooter ;Electronic Arts
10517;PSP ;2011;Adventure ;Kadokawa Shoten
10518;DS ;2010;Misc ;Take-Two Interactive
10519;PS3 ;2010;Misc ;Sony Computer Entertainment
10520;DS ;2008;Action ;Eidos Interactive
10521;PS4 ;2015;Role-Playing ;Namco Bandai Games
10522;PSP ;2011;Misc ;Broccoli
10523;DS ;2006;Misc ;Zoo Digital Publishing
10524;DS ;2008;Strategy ;Sega
10525;XB ;2004;Racing ;Codemasters
10526;GBA ;2002;Racing ;Ubisoft
10527;DC ;1999;Fighting ;SNK
10528;XB ;2005;Sports ;Electronic Arts
10529;Wii ;2010;Misc ;THQ
10530;PSP ;2011;Strategy ;Namco Bandai Games
10531;DS ;2007;Simulation ;Konami Digital Entertainment
10532;PSP ;2007;Strategy ;Atari
10533;PS ;1998;Fighting ;Acclaim Entertainment
10534;XB ;2004;Racing ;THQ
10535;DS ;2011;Strategy ;Take-Two Interactive
10536;PSP ;2009;Misc ;PM Studios
10537;DS ;2009;Misc ;Majesco Entertainment
10538;DS ;2008;Sports ;Pinnacle
10539;PS ;1995;Action ;Core Design Ltd.
10540;DC ;1999;Adventure ;Activision
10541;PSP ;2008;Role-Playing ;Sting
10542;Wii ;2009;Action ;505 Games
10543;PSP ;2007;Action ;Activision
10544;XB ;2003;Fighting ;Capcom
10545;Wii ;2012;Role-Playing ;Level 5
10546;PS3 ;2011;Action ;Konami Digital Entertainment
10547;GC ;2002;Action ;Virgin Interactive
10548;DS ;2007;Misc ;Paon
10549;PS ;1999;Action ;Eidos Interactive
10550;Wii ;2009;Strategy ;Namco Bandai Games
10551;Wii ;2008;Misc ;Activision
10552;DS ;2007;Fighting ;505 Games
10553;DS ;2007;Misc ;Shogakukan
10554;Wii ;2009;Action ;Avanquest
10555;PS2 ;2003;Racing ;Midway Games
10556;GC ;2006;Role-Playing ;Unknown
10557;PS2 ;2002;Fighting ;Eidos Interactive
10558;XOne ;2015;Sports ;Konami Digital Entertainment
10559;XB ;2001;Sports ;THQ
10560;DS ;2010;Adventure ;Konami Digital Entertainment
10561;DS ;N/A ;Simulation ;Unknown
10562;PS3 ;2014;Action ;Tecmo Koei
10563;DS ;2006;Platform ;D3Publisher
10564;X360 ;2007;Sports ;Ubisoft
10565;PSP ;2009;Adventure ;Idea Factory
10566;GC ;2003;Sports ;Electronic Arts
10567;X360 ;2009;Role-Playing ;Bethesda Softworks
10568;X360 ;2011;Misc ;Activision
10569;DS ;2009;Misc ;AQ Interactive
10570;PS3 ;2007;Sports ;Sega
10571;XB ;2006;Action ;Activision
10572;PS2 ;2002;Shooter ;Virgin Interactive
10573;PSP ;2013;Role-Playing ;Namco Bandai Games
10574;PC ;2004;Shooter ;Activision
10575;PS2 ;2006;Platform ;Midway Games
10576;XB ;2005;Shooter ;SCi
10577;GC ;2002;Action ;Activision
10578;PS2 ;2005;Role-Playing ;Tecmo Koei
10579;DS ;2006;Action ;Nintendo
10580;Wii ;2008;Adventure ;Atari
10581;X360 ;2014;Racing ;Codemasters
10582;PS3 ;2007;Misc ;Activision
10583;PS4 ;2015;Role-Playing ;Deep Silver
10584;PS2 ;2009;Misc ;Activision
10585;PS ;1996;Sports ;U.S. Gold
10586;Wii ;2008;Sports ;Activision
10587;GC ;2003;Platform ;Take-Two Interactive
10588;Wii ;2008;Fighting ;Capcom
10589;X360 ;2011;Misc ;505 Games
10590;SAT ;1995;Shooter ;Acclaim Entertainment
10591;DS ;2012;Action ;Namco Bandai Games
10592;GC ;2002;Sports ;Sega
10593;PC ;2016;Strategy ;Sega
10594;PSP ;2010;Shooter ;Ubisoft
10595;PS ;2000;Misc ;Vivendi Games
10596;DS ;2009;Role-Playing ;Namco Bandai Games
10597;PS ;1999;Simulation ;Avalon Interactive
10598;PC ;2012;Action ;Activision
10599;X360 ;2012;Racing ;Activision
10600;DS ;2006;Puzzle ;Zoo Digital Publishing
10601;PS3 ;2012;Action ;Konami Digital Entertainment
10602;Wii ;2009;Misc ;505 Games
10603;PS2 ;2001;Role-Playing ;Ubisoft
10604;PSV ;2011;Role-Playing ;Square Enix
10605;DS ;2010;Puzzle ;PopCap Games
10606;DS ;2010;Misc ;MTV Games
10607;DS ;2006;Simulation ;Konami Digital Entertainment
10608;SAT ;1996;Role-Playing ;Micro Cabin
10609;GBA ;2004;Action ;Activision
10610;X360 ;2008;Sports ;Electronic Arts
10611;PS2 ;2007;Action ;Activision
10612;XOne ;2015;Sports ;Electronic Arts
10613;DS ;2008;Action ;Activision
10614;X360 ;2006;Shooter ;Atari
10615;DS ;2009;Puzzle ;Destineer
10616;PSP ;2010;Simulation ;D3Publisher
10617;XB ;2002;Sports ;Activision
10618;XB ;2004;Fighting ;Ignition Entertainment
10619;PS2 ;2005;Platform ;Global Star
10620;SAT ;1997;Shooter ;Namco Bandai Games
10621;PS ;2001;Racing ;Acclaim Entertainment
10622;Wii ;2008;Racing ;Activision
10623;PS ;1998;Action ;Jaleco
10624;XB ;2004;Role-Playing ;Ubisoft
10625;Wii ;2007;Role-Playing ;Tecmo Koei
10626;Wii ;2008;Sports ;Activision
10627;X360 ;2010;Racing ;Deep Silver
10628;DS ;2007;Misc ;Namco Bandai Games
10629;PS2 ;2004;Shooter ;Zoo Digital Publishing
10630;X360 ;2010;Strategy ;Compile Heart
10631;GBA ;2001;Strategy ;Nintendo
10632;N64 ;1998;Misc ;GameTek
10633;N64 ;2000;Platform ;Ubisoft
10634;N64 ;2001;Role-Playing ;THQ
10635;PS3 ;2012;Fighting ;Aqua Plus
10636;N64 ;1998;Sports ;Crave Entertainment
10637;N64 ;2000;Racing ;Infogrames
10638;N64 ;1997;Fighting ;Natsume
10639;N64 ;1997;Sports ;Konami Digital Entertainment
10640;N64 ;1998;Action ;Infogrames
10641;PS3 ;2008;Shooter ;Activision
10642;N64 ;1998;Racing ;Ocean
10643;N64 ;1998;Sports ;Interplay
10644;PS ;1999;Fighting ;Infogrames
10645;PC ;2010;Action ;Electronic Arts
10646;DS ;2009;Misc ;Avanquest
10647;GBA ;2002;Platform ;Ubisoft
10648;Wii ;2008;Sports ;Oxygen Interactive
10649;PS3 ;2011;Fighting ;Capcom
10650;DS ;2008;Adventure ;Oxygen Interactive
10651;PS ;2001;Action ;3DO
10652;GBA ;2003;Action ;Ubisoft
10653;PC ;2011;Action ;Electronic Arts
10654;X360 ;2005;Sports ;Take-Two Interactive
10655;DC ;1999;Fighting ;Capcom
10656;PSP ;2006;Sports ;Midway Games
10657;PS2 ;2001;Role-Playing ;Metro 3D
10658;PS ;1999;Strategy ;LEGO Media
10659;XB ;2004;Shooter ;Konami Digital Entertainment
10660;PS3 ;2014;Fighting ;Namco Bandai Games
10661;PS ;1997;Simulation ;Sony Computer Entertainment
10662;PS4 ;2015;Role-Playing ;Tecmo Koei
10663;3DS ;2011;Action ;THQ
10664;XB ;2003;Action ;THQ
10665;XB ;2004;Shooter ;Ubisoft
10666;DS ;2005;Simulation ;Marvelous Interactive
10667;DS ;2007;Fighting ;Sega
10668;XB ;2005;Adventure ;Atari
10669;PS3 ;2014;Racing ;Deep Silver
10670;DS ;2007;Misc ;Benesse
10671;XB ;2006;Platform ;Activision
10672;XB ;2002;Puzzle ;Microsoft Game Studios
10673;PS3 ;2015;Role-Playing ;Namco Bandai Games
10674;PS ;1994;Role-Playing ;Sony Computer Entertainment
10675;PS4 ;2015;Action ;D3Publisher
10676;Wii ;2012;Sports ;Konami Digital Entertainment
10677;PS ;1997;Racing ;Codemasters
10678;Wii ;2011;Misc ;505 Games
10679;XB ;2005;Sports ;Take-Two Interactive
10680;DC ;2000;Adventure ;Sega
10681;PS3 ;2010;Misc ;Black Bean Games
10682;SAT ;1995;Misc ;Jaleco
10683;PS3 ;2011;Action ;THQ
10684;DS ;2006;Action ;Ubisoft
10685;XB ;2003;Misc ;Microsoft Game Studios
10686;SNES ;1995;Racing ;Media Rings
10687;PSP ;2006;Racing ;Sega
10688;PSV ;2012;Role-Playing ;Namco Bandai Games
10689;3DS ;2011;Action ;Activision
10690;DS ;2009;Simulation ;Ubisoft
10691;X360 ;2012;Shooter ;Konami Digital Entertainment
10692;X360 ;N/A ;Action ;Warner Bros. Interactive Entertainment
10693;PC ;1999;Strategy ;Microsoft Game Studios
10694;PC ;2010;Strategy ;THQ
10695;XB ;2005;Action ;Vivendi Games
10696;X360 ;2007;Adventure ;Ubisoft
10697;PC ;2014;Racing ;Codemasters
10698;Wii ;2007;Action ;Game Factory
10699;PSV ;2014;Adventure ;Type-Moon
10700;PS2 ;2008;Adventure ;Kadokawa Shoten
10701;3DS ;2013;Puzzle ;Warner Bros. Interactive Entertainment
10702;DS ;2011;Adventure ;City Interactive
10703;DS ;2010;Puzzle ;THQ
10704;XOne ;2015;Racing ;Milestone S.r.l.
10705;Wii ;2007;Fighting ;Takara Tomy
10706;GC ;2001;Misc ;Kemco
10707;DS ;2009;Misc ;Nintendo
10708;X360 ;2010;Sports ;Activision
10709;PS2 ;2003;Platform ;Gotham Games
10710;SAT ;1996;Fighting ;SNK
10711;X360 ;2010;Role-Playing ;JoWood Productions
10712;X360 ;2011;Racing ;D3Publisher
10713;PS2 ;2002;Sports ;Electronic Arts
10714;DS ;2009;Shooter ;Enjoy Gaming ltd.
10715;X360 ;2011;Misc ;THQ
10716;XB ;2004;Action ;Ubisoft
10717;PSP ;2011;Role-Playing ;Square Enix
10718;PSP ;2009;Sports ;Take-Two Interactive
10719;DS ;2008;Simulation ;Deep Silver
10720;Wii ;2010;Adventure ;Activision
10721;PC ;2009;Racing ;Electronic Arts
10722;GBA ;2004;Adventure ;Nintendo
10723;Wii ;2009;Action ;D3Publisher
10724;X360 ;2011;Sports ;Deep Silver
10725;DS ;2008;Adventure ;Alchemist
10726;PS2 ;2004;Simulation ;Global Star
10727;PS ;2001;Racing ;TDK Mediactive
10728;PS4 ;2015;Fighting ;Capcom
10729;Wii ;2009;Simulation ;Activision
10730;3DS ;2011;Platform ;Ubisoft
10731;DS ;2008;Simulation ;Destination Software Inc
10732;DS ;2009;Puzzle ;Rising Star Games
10733;PC ;2016;Adventure ;Square Enix
10734;3DS ;2011;Misc ;Crave Entertainment
10735;PS3 ;2016;Role-Playing ;Unknown
10736;PSP ;2006;Action ;Capcom
10737;XB ;2004;Racing ;Activision
10738;PS ;1996;Shooter ;Activision
10739;3DS ;2011;Action ;Sega
10740;PSP ;2008;Role-Playing ;Nippon Ichi Software
10741;DS ;2007;Action ;Namco Bandai Games
10742;PS2 ;2005;Action ;Sony Computer Entertainment
10743;X360 ;2013;Simulation ;Microsoft Game Studios
10744;PS2 ;2007;Racing ;Capcom
10745;DS ;2006;Adventure ;505 Games
10746;PS ;1998;Racing ;MTO
10747;DS ;2010;Sports ;Activision
10748;SNES ;1995;Sports ;Asmik Corp
10749;GBA ;2004;Platform ;Nintendo
10750;XB ;2002;Shooter ;BAM! Entertainment
10751;PS ;1997;Shooter ;Interplay Productions
10752;X360 ;2009;Misc ;Disney Interactive Studios
10753;Wii ;2008;Shooter ;Eidos Interactive
10754;XOne ;2015;Action ;Capcom
10755;DS ;2011;Sports ;Take-Two Interactive
10756;PS2 ;2007;Role-Playing ;Sega
10757;PS ;1996;Fighting ;Asmik Ace Entertainment
10758;PC ;2015;Role-Playing ;inXile Entertainment
10759;PS ;1998;Role-Playing ;From Software
10760;DS ;N/A ;Role-Playing ;Unknown
10761;DS ;2008;Action ;Electronic Arts
10762;PSP ;2009;Fighting ;Namco Bandai Games
10763;DS ;2008;Misc ;Playlogic Game Factory
10764;Wii ;2007;Action ;Codemasters
10765;X360 ;2009;Action ;Warner Bros. Interactive Entertainment
10766;DS ;2005;Racing ;Zoo Digital Publishing
10767;XB ;2006;Platform ;Vivendi Games
10768;PS2 ;2004;Fighting ;505 Games
10769;X360 ;2010;Action ;Electronic Arts
10770;PS3 ;2011;Racing ;Activision
10771;PS ;1997;Adventure ;Psygnosis
10772;PS2 ;2001;Racing ;Rage Software
10773;PSV ;2013;Sports ;Konami Digital Entertainment
10774;PSV ;2013;Fighting ;Tecmo Koei
10775;PS ;1996;Puzzle ;Konami Digital Entertainment
10776;DS ;2007;Role-Playing ;Namco Bandai Games
10777;XB ;2003;Racing ;THQ
10778;DS ;2007;Sports ;Namco Bandai Games
10779;GBA ;2002;Fighting ;Banpresto
10780;Wii ;2011;Misc ;Rising Star Games
10781;PS3 ;2007;Misc ;Sony Computer Entertainment
10782;PC ;2011;Action ;Activision
10783;Wii ;2009;Simulation ;THQ
10784;DS ;2008;Simulation ;Nintendo
10785;PSV ;2012;Adventure ;Gust
10786;PS2 ;2006;Role-Playing ;505 Games
10787;X360 ;2011;Action ;Crave Entertainment
10788;PSP ;2012;Role-Playing ;Image Epoch
10789;Wii ;2009;Simulation ;Eidos Interactive
10790;GBA ;2006;Platform ;Konami Digital Entertainment
10791;GBA ;2002;Shooter ;BAM! Entertainment
10792;GC ;2004;Sports ;Konami Digital Entertainment
10793;XB ;2002;Simulation ;Microsoft Game Studios
10794;Wii ;N/A ;Adventure ;Unknown
10795;DS ;2007;Strategy ;Ghostlight
10796;DS ;2009;Action ;Blast! Entertainment Ltd
10797;PS ;1997;Fighting ;Capcom
10798;DS ;2010;Misc ;Conspiracy Entertainment
10799;DS ;2011;Role-Playing ;Namco Bandai Games
10800;DS ;2010;Sports ;Konami Digital Entertainment
10801;PSP ;2006;Action ;Ubisoft
10802;DS ;2008;Strategy ;Rising Star Games
10803;X360 ;2011;Misc ;Ubisoft
10804;X360 ;2007;Action ;Tecmo Koei
10805;3DS ;2011;Fighting ;Deep Silver
10806;DS ;2010;Simulation ;Ubisoft
10807;3DS ;2014;Action ;Disney Interactive Studios
10808;XB ;2002;Racing ;THQ
10809;DS ;2009;Simulation ;Konami Digital Entertainment
10810;PS4 ;2014;Role-Playing ;Nippon Ichi Software
10811;DS ;2006;Strategy ;Ignition Entertainment
10812;DS ;2011;Adventure ;GSP
10813;3DS ;2014;Sports ;Namco Bandai Games
10814;XB ;2002;Action ;Activision
